ASIN,Bağlantı Türü,Bellek Teknolojisi,Bilgisayar Bellek Türü,Desteklenen Maksimum Bellek,Ekran Boyutu,Ekran Kartı Arayüzü,Ekran Kartı Açıklaması,Form Faktör,Grafik RAM Türü,Grafik İşlemci Üreticisi,Lityum Batarya Enerji İçeriği,Lityum Batarya Paketi,Lityum İyon Hücre Sayısı,Marka,Optik Sürücü Türü,Ortalama Pil Ömrü (saat),Paket Boyutları,Piller Dahil mi?,Piller:,Price,RAM Boyutu,Sabit Disk Açıklaması,Score,Seri,USB 3.0 Bağlantı Noktası Sayısı,Çözünürlük,Üretici,Ürün Ağırlığı,İşlemci Hızı,İşlemci Markası,İşlemci Sayısı,İşlemci Türü,İşletim Sistemi,Grafik Yardımcı İşlemcisi,Renk,Sabit Sürücü Arabirimi,Sabit Sürücü Boyutu,USB 2.0 Bağlantı Noktası Sayısı,Ürün Boyutları,Donanım Platformu,Ekran Kartı Bellek Boyutu,Ürün Model Numarası,HDMI Bağlantı Noktası Sayısı,Kablosuz Türü,Bellek Saat Hızı,Üretici Artık Üretmiyor,Donanım Arayüzü,Ekran Teknolojisi,Ortalama Pil Ömrü,RAM Bellek Teknolojisi,Model,Lityum Batarya Ağırlığı
B08D7BRV3C,Wi-Fi,DDR4,DDR4 SDRAM,,17.3,,Nvidia GeForce RTX,Notebook,,NVIDIA,51.0,Cihazın içinde pil vardır.,1.0,Msi,Yok,6.0,,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),17579.0,32.0,SSD,5.0,GL75 LEOPARD 10SER-257XTR,,1920x1080,MSI COMPUTER,2.6,2.6,Intel,4.0,Core i7,,,,Solid State,1000.0,,40 x 2.8 x 27 cm; 2.6 Kilogram,,6.0,GL75 LEOPARD 10SER-257XTR,1.0,802.11a/b/g/n/ac,,,,,,,,
B088992G2C,Wi-Fi,,DDR4 SDRAM,,15.6,,Amd_radeon_r5,Notebook,DDR4 SDRAM,AMD,,,1.0,HUAWEI,Yok,6.6,,Evet,,6299.0,8.0,SSD,5.0,,2.0,1920x1080,Huawei,1.6,2.3,AMD,1.0,Ryzen 5,Windows 10 Home,AMD Radeon Vega 8,Gri,Solid State,256.0,1.0,23 x 35.8 x 1.7 cm; 1.6 Kilogram,,,Matebook D15,1.0,802.11a/b/g/n/ac,,,,,,,,
B07TRWSF6C,802_11_N,"DDR4, SDRAM",,,15.6,Tümleşik,Nvidia_geforce,Notebook,GDDR5,NVIDIA,,,,HP,Yok,3.0,,,,7769.0,8.0,HDD|SSD,4.5,15-dk0005nt,3.0,1920x1080,HP,3.28,2.4,Intel,4.0,Core i5,Windows 10 Home,Nvidia,Siyah,Solid State,128.0,,25.6 x 36 x 2.34 cm; 3.28 Kilogram,,,6ZL09EA,1.0,802.11n,,,,,,,,
B08CNN8MBR,Wi-Fi,DDR4,DDR4 SDRAM,,17.3,,,Katlanır,,AMD,51.0,Cihazın içinde pil vardır.,1.0,Msi,Yok,6.0,,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),11678.0,16.0,SSD,5.0,,,1920x1080,MSI COMPUTER,2.2,2.9,AMD,8.0,,FreeDOS,,,Solid State,512.0,,40 x 3 x 26 cm; 2.2 Kilogram,,4.0,BRAVO 17 A4DDR-039XTR,1.0,801.11ac,,,,,,,,
B08G5KQRFX,Wi-Fi,DDR4,DDR4 SDRAM,,15.6,,,Katlanır,,NVIDIA,51.0,Cihazın içinde pil vardır.,1.0,Msi,Yok,6.0,,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),11906.0,16.0,SSD,2.4,,,1920x1080,MSI COMPUTER,1.86,2.6,Intel,6.0,,FreeDOS,,,Solid State,,,36 x 2.1 x 25 cm; 1.86 Kilogram,,4.0,GF63 THIN 10SCSR-658XTR,1.0,801.11ac,,,,,,,,
B08CYG8WY1,Bluetooth,,DDR4 SDRAM,16.0,15.6,,Intel_hd,Notebook,,NVIDIA,,,,Lenovo,Optik,10.0,,,,13485.0,16.0,SSD,5.0,,1.0,1920x1080,Lenovo,2.75,5.0,Intel,6.0,Core i7,Windows 10 Home,Intel,,Solid State,512.0,1.0,40 x 30 x 50 cm; 2.75 Kilogram,,,82D4004STX,1.0,Bluetooth,,,,,,,,
B08PBZRYW4,,DDR4,SODIMM,,,,,,,NVIDIA,1.0,Cihazın içinde pil vardır.,1.0,Monster,,,36 x 25 x 2.5 cm; 2.2 Kilogram,Evet,1 Lityum İyon pil gereklidir. (piller ürüne dahildir),7599.0,8.0,SSD,,,,1920x1080,Monster,2.2,2.4,Intel,4.0,Intel Core i5,DOS,,Black,Solid State,250.0,,,PC,,,,,,,,,,,,1.0
B08P3VYRWQ,,,DDR4 SDRAM,,14,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7329.0,8.0,SSD,,,,1920x1080,Lenovo,,,AMD,8.0,,,,,Solid State,,,,,,,,,,,,LED,,DDR4,,
B08CNR4B75,Wi-Fi,DDR4,DDR4 SDRAM,,17.3,,Nvidia GeForce GTX,Katlanır,,NVIDIA,51.0,Cihazın içinde pil vardır.,1.0,Msi,Yok,6.0,,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),12419.0,8.0,SSD,3.0,,,1920x1080,MSI COMPUTER,2.2,2.6,Intel,6.0,,FreeDOS,,,Solid State,512.0,,40 x 3 x 26 cm; 2.2 Kilogram,,4.0,GF75 THIN 10SCSR-091XTR,1.0,801.11ac,,,,,,,,
B086XXSVW9,Wi-Fi,,,,13.3,,,Notebook,,,30.0,Cihazın içinde pil vardır.,1.0,Apple,Yok,11.0,,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),9999.0,4.0,SSD,,,2.0,2560x1600,Apple Computer,1.29,1.1,Intel,4.0,,Mac OS X,,Silver,Solid State,,,21.24 x 30.41 x 1.61 cm; 1.29 Kilogram,,,MWTK2TU/A,,802.11ac,,,,,,,,
B08NTJ85MQ,,DDR4,SODIMM,,,,,,,NVIDIA,1.0,Cihazın içinde pil vardır.,1.0,Monster,,,36 x 25 x 2.5 cm; 2.5 Kilogram,Evet,1 Lityum İyon pil gereklidir. (piller ürüne dahildir),8699.0,8.0,SSD,5.0,,,1920x1080,Monster,2.5,2.4,Intel,4.0,Intel Core i5,DOS,,Black,Solid State,250.0,,,PC,,,,,,,,,,,,1.0
B08PFY9Q7J,"Bluetooth, Wi_fi, Miracast",DDR4,SDRAM,16.0,15.6,PCI-Express x16,GTX 1650,Taşınabilir,GDDR6,NVIDIA,52.5,Cihazın içinde pil vardır.,3.0,HP,Yok,6.0,,Evet,3 Lityum İyon pil gereklidir. (piller ürüne dahildir),11987.0,,SSD,,HP 1U5R7EA PAVIILION GAMING 15-DK1004NT,4.0,1920x1080,HP,2.23,2.6,Intel,1.0,Core i7,Windows 10 Home,NVIDIA GeForce GTX 1650 Ti,Black,PCIE x 16,512.0,,25.6 x 2.34 x 36 cm; 2.23 Kilogram,,4.0,,,802.11a/b/g/n/ac,2933.0,,,,,,,
B08D7CWVBV,Wi-Fi,DDR4,DDR4 SDRAM,,17.3,,,Notebook,,NVIDIA,51.0,Cihazın içinde pil vardır.,1.0,Msi,Yok,6.0,,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),14104.0,16.0,SSD,5.0,GL75 LEOPARD 9SDR-299XTR,,1920x1080,MSI COMPUTER,2.6,2.6,Intel,4.0,Core i7,FreeDOS,,,Solid State,,,40 x 2.8 x 27 cm; 2.6 Kilogram,,6.0,GL75 LEOPARD 9SDR-299XTR,1.0,802.11a/b/g/n/ac,,,,,,,,
B08CNR5R8X,Wi-Fi,DDR4,DDR4 SDRAM,,17.3,,,Katlanır,,NVIDIA,51.0,Cihazın içinde pil vardır.,1.0,Msi,Yok,6.0,,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),16597.0,32.0,HDD|SSD,5.0,,,1920x1080,MSI COMPUTER,2.6,2.6,Intel,6.0,,Windows 10 Home,,,Solid State,1000.0,,40 x 3 x 27 cm; 2.6 Kilogram,,6.0,GL75 LEOPARD 10SDR-258TR,1.0,801.11ac,,,,,,,,
B08D7B3FHW,Wi-Fi,DDR4,DDR4 SDRAM,,15.6,,Nvidia GeForce GTX,Notebook,,NVIDIA,51.0,Cihazın içinde pil vardır.,1.0,Msi,Yok,6.0,,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),10458.0,8.0,SSD,5.0,GF65 THIN 10SDR-638XTR,,1920x1080,MSI COMPUTER,1.86,2.5,Intel,4.0,,FreeDOS,,,Solid State,512.0,,36 x 2.1 x 25 cm; 1.86 Kilogram,,6.0,GF65 THIN 10SDR-638XTR,1.0,802.11a/b/g/n/ac,,,,,,,,
B08NZVWVXP,,,DDR DRAM,,14,,,,,,,,,,,6.0,,,,4498.0,4.0,SSD,,,,,HP,,1.1,Intel,1.0,Celeron,Windows 10 Home,,,Solid State,128.0,,,Bilgisayar,,,,,,,,,,,,
B08K2JCVW5,Intel® Wi-Fi 6 AX201 (2x2),DDR4,,16.0,15.6,PCI-Express x8,GeForce RTX 2070,Dizüstü Bilgisayar,GDDR6,Intel,4.0,Cihazın içinde pil vardır.,6.0,HP,Yok,,52 x 31.4 x 6.8 cm; 3.66 Kilogram,Evet,1 Lityum İyon pil gereklidir. (piller ürüne dahildir),21999.0,16.0,1 TB SSD,4.3,OMEN Laptop - 15-ek0005nt,1.0,1920x1080,HP,3.66,4.3,Intel,6.0,Core i7 Family,Windows 10 Home,,Siyah,Solid State,,1.0,,,,,,,,,,,,,,
B08P4PD33S,Wi-Fi,,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,4089.0,4.0,SSD,,,,1366x768,Asus,1.9,,,,,,,Gümüş rengi,Solid State,,,,,,,,,,,,,,,,
B08P5C4237,,DDR4,DDR4 SDRAM,,,,,,,,,,,Dell,,,,,,6650.0,8.0,SSD,,,,1920x1080,Dell Computers,,,,,,,,,Solid State,,,,,,,,,,,,,,,,
B08GZQQ5DS,,,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,5529.0,8.0,SSD,,,,,Asus,1.9,,AMD,,,Windows 10,,,Solid State,512.0,,,,,114393908999,,,,,,,,,114393908999,
B088ZQ6RT2,,DDR4,SODIMM,,15.6,,,,,NVIDIA,41.0,Piller cihazla birlikte paketlenmiştir,4.0,Monster,,,,Evet,1 Lityum İyon pil gereklidir. (piller ürüne dahildir),10449.0,16.0,SSD,4.5,,,1920x1080,Monster,2.1,2.6,Intel,6.0,Intel Core i7,DOS,,Kahverengi,Solid State,250.0,,35.98 x 24.33 x 2.58 cm; 2.1 Kilogram,PC,,Tulpar T5 V19.2,,,,,,,,,,0.6
B08P5T5KWK,,,,,,,,Dizüstü Bilgisayar,,,,,,Dell,,,,,,8029.0,16.0,SSD,,,,,Dell Computers,,,Intel,,,,,,,,,,,,,,,,,,LED,,,,
B08P3XSG4D,,,DDR4 SDRAM,,,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,10829.0,64.0,,,,,1920x1080,Lenovo,,,AMD,,,,,,,,,,,,,,,,,,LED,,DDR4,,
B08HKB1B8L,,,DDR DRAM,,,,,,,,,,,,,,,,,7348.0,8.0,SSD,,,,,HP,,1.6,Intel,1.0,Core i5,DOS,,,Solid State,256.0,,,Bilgisayar,,,,,,,,,,,,
B082VJSPTV,,,DDR4 SDRAM,,16,,AMD Radeon Pro 5300M,Notebook,GDDR6,,,Cihazın içinde pil vardır.,,Apple,Yok,,,Evet,,23725.0,16.0,SSD,3.1,MVVL2TU/A,1.0,,Apple Computer,3.94,2.6,Intel,6.0,Core i7,Macintosh İşletim Sistemi,Radeon,Gümüş rengi,Solid State,,,24.69 x 35.79 x 1.62 cm; 3.94 Kilogram,,,MVVL2TU/A,1.0,,,,,,,,,
B08CY57W9H,,DDR4,DDR4 SDRAM,,14,Tümleşik,Andere,"Dizüstü Bilgisayar, Dönüştürülebilir",GDDR6,AMD,36.0,Cihazın içinde pil vardır.,4.0,Acer,Yok,,48.4 x 31.1 x 6.4 cm; 2.51 Kilogram,Evet,1 Lityum İyon pil gereklidir. (piller ürüne dahildir),4495.0,4.0,SSD,,SP314-21-R8C4,,1920x1080,Acer,2.51,,AMD,2.0,,Windows 10 Home,,Gümüş rengi,Solid State,,,,,,NX.A4FEG.00A,1.0,,,,,,,,,
B07YNJ6R9P,Wi-Fi,,,,13,,,,,,,,,Microsoft,,,,,,26254.0,512.0,SSD,4.3,,,,Microsoft,,,,,,,,,Solid State,512.0,,20.83 x 28.7 x 0.71 cm; 771.11 gram,,,MJU-00001,,,,,Katı Hal Sürücü,,,,MJU-00001,
B08D7CSBP4,Wi-Fi,DDR4,DDR4 SDRAM,,17.3,,,Notebook,,NVIDIA,51.0,Cihazın içinde pil vardır.,1.0,Msi,Yok,6.0,,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),14064.0,16.0,SSD,2.7,GL75 LEOPARD 10SDR-286XTR,,1920x1080,MSI COMPUTER,2.6,2.6,Intel,4.0,,FreeDOS,,,Solid State,512.0,,40 x 2.8 x 27 cm; 2.6 Kilogram,,6.0,GL75 LEOPARD 10SDR-286XTR,1.0,802.11a/b/g/n/ac,,,,,,,,
B0874VQQFQ,,DDR4,SODIMM,,15.6,,,,,NVIDIA,41.0,Piller cihazla birlikte paketlenmiştir,4.0,Monster,,,,Evet,1 Lityum İyon pil gereklidir. (piller ürüne dahildir),9299.0,8.0,SSD,4.6,,,1920x1080,Monster,2.1,2.5,Intel,6.0,Intel Core i7,DOS,,Black,Solid State,250.0,,35.98 x 24.33 x 2.58 cm; 2.1 Kilogram,PC,,Abra A5 V15.8,,,,,,,,,,0.41
B08CNTWW2D,Wi-Fi,DDR4,DDR4 SDRAM,,17.3,,,Katlanır,,NVIDIA,51.0,Cihazın içinde pil vardır.,1.0,Msi,Yok,6.0,,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),17389.0,16.0,SSD,,,,1920x1080,MSI COMPUTER,2.6,2.6,Intel,6.0,,Windows 10,,,Solid State,,,40 x 3 x 27 cm; 2.6 Kilogram,,6.0,GL75 LEOPARD 10SER-256TR,1.0,801.11ac,,,,,,,,
B08LWZ29MC,Wi-Fi,DDR4,SODIMM,64.0,15.6,PCI-Express x16,GTX 1650,,GDDR6,NVIDIA,41.0,Cihazın içinde pil vardır.,6.0,Msi,Yok,3.0,,Evet,6 Lityum İyon pil gereklidir. (piller ürüne dahildir),13089.0,,SSD,,GL65 LEOPARD 10SCSR-080TR,4.0,1920x1080,MSI COMPUTER,2.61,2.6,Intel,1.0,Corei7-10750H,Windows 10,NVIDIA GeForce GTX 1650,Black,Solid State,,,35.9 x 27 x 2.8 cm; 2.61 Kilogram,PC,,,,802.11a/b/g/n/ac,2666.0,,,,,,,
B08KRGLX2V,,,SDRAM,,14,Tümleşik,Integriert,Dizüstü Bilgisayar,DDR4 SDRAM,Intel,52.0,Cihazın içinde pil vardır.,1.0,Msi,Yok,12.0,,Evet,1 Lityum polimer pil gereklidir. (piller ürüne dahildir),11293.0,16.0,SSD,,Prestige 14 Evo A11M-005,,,MSI COMPUTER,1.29,,Intel,4.0,,Windows 10 Home,,Gri,Solid State,,1.0,31.9 x 21.5 x 1.59 cm; 1.29 Kilogram,,,0014C4-005,,,,,,,,,,5.0
B088MDB616,Wi-Fi,,,,13,,,Notebook,,,54.5,Cihazın içinde pil vardır.,1.0,Apple,Yok,10.0,,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),19479.0,16.0,SSD,5.0,,3.0,2560x1600,Apple Computer,1.37,2.0,Intel,4.0,,Mac OS X,,Uzay Grisi,Solid State,1000.0,,21.24 x 30.41 x 1.56 cm; 1.37 Kilogram,,,MWP52TU/A,,802.11ac,,,,,,,,
B07Y5PK8SC,"Bluetooth, USB, HDMI, Wifi",,DDR4 SDRAM,,15.6,Tümleşik,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,9220.0,16.0,SSD,4.4,,,1920x1080,Asus,,,AMD,2.0,Ryzen 3,Windows 10 Home,AMD Radeon Vega 3,,Solid State,,,36.58 x 23.11 x 2.03 cm; 1.72 Kilogram,,,ASUS,,802.11ac,,,"Bluetooth, USB, HDMI",LED,4.0,DDR4,ASUS,
B08HZC7CPY,,DDR4,SODIMM,,,,,,,,,,,,,,,,,13949.0,16.0,SSD,,,,,Asus,,2.6,Intel,6.0,Core i7,DOS,,,Solid State,1000.0,,,Bilgisayar,,,,,,,,,,,,
B08BGC9HP8,Wi-Fi,DDR4,DDR4 SDRAM,,15.6,,,Katlanır,,NVIDIA,51.0,Cihazın içinde pil vardır.,1.0,Msi,Yok,6.0,,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),12299.0,16.0,SSD,,,,1920x1080,MSI COMPUTER,1.88,2.6,Intel,6.0,Core i7,Windows 10 Home,,Gri,Solid State,250.0,,36 x 2.2 x 25 cm; 1.88 Kilogram,,6.0,CREATOR 15M A10SD-457TR,1.0,802.11ac,,,,,,,,
B0874WJSGG,,DDR4,SODIMM,,,,,,,NVIDIA,,,,,,,,,,10399.0,16.0,SSD,,,,1920x1080,Monster,,2.5,Intel,1.0,Core i7,Windows,,,Solid State,256.0,,,Windows,,,,,,,,,,,,
B0874VW7MM,,DDR4,SODIMM,,15.6,,,,,NVIDIA,41.0,Piller cihazla birlikte paketlenmiştir,4.0,Monster,,,,Evet,1 Lityum İyon pil gereklidir. (piller ürüne dahildir),10599.0,16.0,SSD,,,,1920x1080,Monster,1.7,2.5,Intel,6.0,Intel Core i7,Windows,,,Solid State,250.0,,35.98 x 24.33 x 2.58 cm; 1.7 Kilogram,Windows,,Tulpar T5 V21.1,,,2933.0,,,,,,,0.6
B086XYBXZD,Wi-Fi,,GDDR3,,13.3,,,Notebook,,,30.0,Cihazın içinde pil vardır.,1.0,Apple,Yok,11.0,,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),9999.0,4.0,SSD,5.0,,2.0,2560x1600,Apple Computer,1.29,1.1,Intel,4.0,,Mac OS X,,Space Grey,Solid State,,,21.24 x 30.41 x 1.61 cm; 1.29 Kilogram,,,MWTJ2TU/A,,802.11ac,,,,,,,,
B0855YWQJQ,,DDR4,SODIMM,,,,,Dizüstü Bilgisayar,,NVIDIA,,,,Monster,,,,Evet,,8999.0,16.0,SSD,,,,1920x1080,Monster,1.05,1.8,Intel,4.0,Intel Core i7,Windows 10 Home,,Gri,Solid State,500.0,,,PC,,,,,2400.0,,,,,,,
B08T9M7J49,,,,,,,,,,,,,,Lenovo,,,,,,4667.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08T788ZR4,,,,,,,,,,,,,,Lenovo,,,,,,9529.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08T781VJQ,,,,,,,,,,,,,,Lenovo,,,,,,10679.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08T7753G4,,,,,,,,,,,,,,Lenovo,,,,,,10479.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08T76X7D2,,,,,,,,,,,,,,Lenovo,,,,,,10279.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08T76RKBY,,,,,,,,,,,,,,Lenovo,,,,,,7829.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08T75SVMR,,,,,,,,,,,,,,Lenovo,,,,,,9229.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08T75PB44,,,,,,,,,,,,,,Lenovo,,,,,,11229.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08T75K5NN,,,,,,,,,,,,,,Lenovo,,,,,,10279.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08T75B4V8,,,,,,,,,,,,,,Lenovo,,,,,,8779.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08T74Y31J,,,,,,,,,,,,,,Lenovo,,,,,,9929.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08T74L6R6,,,,,,,,,,,,,,Lenovo,,,,,,9729.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08T74JJWS,,,,,,,,,,,,,,Lenovo,,,,,,9329.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08T74GYL2,,,,,,,,,,,,,,Lenovo,,,,,,9729.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08T749CDZ,,,,,,,,,,,,,,Lenovo,,,,,,8979.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08T73T443,,,,,,,,,,,,,,Lenovo,,,,,,8479.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08T73525R,,,,,,,,,,,,,,Lenovo,,,,,,8779.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08T733MRK,,,,,,,,,,,,,,Lenovo,,,,,,8279.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08T6GJ3X1,,,SODIMM,,,,,,,,,,,Monster,,,,,,11999.0,16.0,,,,,,Monster,,2.6,Intel,6.0,Intel Core i7,,,,Solid State,500.0,,,PC,,,,,,,,,,,,
B08T5RPK7Q,,,,,,,,,,,,,,Lenovo,,,,,,8029.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08T25G7WN,,,SODIMM,,,,,,,,,,6.0,Monster,,,,,,26999.0,64.0,,,,,,Monster,,2.4,Intel,8.0,Intel Core i9,,,,Solid State,2000.0,,,PC,,,,,,,,,,,,
B08T24JD6L,,,SODIMM,,,,,,,,,,6.0,Monster,,,,,,24999.0,32.0,,,,,,Monster,,2.4,Intel,8.0,Intel Core i9,,,,Solid State,1000.0,,,PC,,,,,,,,,,,,
B08SVYQG2N,,,SODIMM,,,,,,,,,,,,,,,,,15240.0,,,,,,,Dynabook,,4.7,Intel,8.0,Intel Core i7,,,,Solid State,256.0,,,Windows,,,,,,,,,,,,
B08SSKPV14,,,,,,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,47179.0,,SSD,,,,,Lenovo,,,,,,Windows 10 Pro,,,Solid State,,,,,,,,,,,,LED,,,,
B08SR83D52,,,DDR4 SDRAM,,,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8579.0,16.0,,,,,1920x1080,Lenovo,,,Intel,,,,,,,,,,,,,,,,,,LED,,DDR4,,
B08SR7JB79,,DDR4,SODIMM,,,,,,,NVIDIA,,Piller cihazla birlikte paketlenmiştir,,Monster,,,,Evet,,9399.0,16.0,SSD,,,,1920x1080,Monster,2.1,2.5,Intel,6.0,Intel Core i5,Windows 10 Home,,,Solid State,500.0,,,PC,,,,,,,,,,,,
B08SR69QJB,,,,,,,,,,,,,,Lenovo,,,,,,8579.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SR5JZCT,,DDR4,SODIMM,,,,,,,NVIDIA,,Piller cihazla birlikte paketlenmiştir,,Monster,,,,Evet,,8799.0,8.0,SSD,,,,1920x1080,Monster,2.1,2.5,Intel,6.0,Intel Core i5,Windows 10,,,Solid State,250.0,,,PC,,,,,,,,,,,,
B08SR3WK4W,,,DDR4 SDRAM,,,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8679.0,32.0,,,,,1920x1080,Lenovo,,,Intel,,,,,,,,,,,,,,,,,,LED,,DDR4,,
B08SR3G567,,,,,,,,,,,,,,Lenovo,,,,,,9879.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
B08SR2PTPK,,DDR4,SODIMM,,,,,,,NVIDIA,,Piller cihazla birlikte paketlenmiştir,,Monster,,,,Evet,,16469.0,16.0,SSD,,,,1920x1080,Monster,1.7,2.3,Intel,8.0,Intel Core i7,Windows 10 Home,,,Solid State,500.0,,35.55 x 23.67 x 1.89 cm; 1.7 Kilogram,PC,,,,,,,,,,,,
B08SR1L58F,"USB, HDMI",,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7879.0,,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,801.11ac,,,"Güvenli Dijital Kart, USB, HDMI, USB 2.0",LED,6.0,DDR4,,
B08SR1H8DQ,"USB, HDMI",,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,6879.0,,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,801.11ac,,,"Güvenli Dijital Kart, USB, HDMI, USB 2.0",LED,6.0,DDR4,,
B08SQWZ51C,,,DDR4 SDRAM,,,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8079.0,16.0,,,,,1920x1080,Lenovo,,,Intel,,,,,,,,,,,,,,,,,,LED,,DDR4,,
B08SQWNLGX,"USB, HDMI",,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7529.0,12.0,"SSD, HDD",,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,801.11ac,,,"Güvenli Dijital Kart, USB, HDMI, USB 2.0",LED,6.0,DDR4,,
B08SQSCPQW,,,DDR4 SDRAM,,,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,9479.0,64.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,,,,,,,,,,,,,LED,,DDR4,,
B08SQRTSC6,"USB, HDMI",,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7979.0,8.0,"SSD, HDD",,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,801.11ac,,,"Güvenli Dijital Kart, USB, HDMI, USB 2.0",LED,6.0,DDR4,,
B08SQPN3G4,"USB, HDMI",,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7579.0,,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,"Bluetooth, 801.11ac",,,"Güvenli Dijital Kart, USB, HDMI, USB 2.0",LED,6.0,DDR4,,
B08SQP278K,"USB, HDMI",,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7529.0,12.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,801.11ac,,,"Güvenli Dijital Kart, USB, HDMI, USB 2.0",LED,6.0,DDR4,,
B08SQNRC6N,"USB, HDMI",,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,8029.0,,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,"Bluetooth, 801.11ac",,,"Güvenli Dijital Kart, USB, HDMI, USB 2.0",LED,6.0,DDR4,,
B08SQN4M5X,"USB, HDMI",,DDR4 SDRAM,,15.6,,,Dizüstü Bilgisayar,,,,,,Lenovo,,,,,,7429.0,8.0,SSD,,,,1920x1080,Lenovo,,,Intel,,,,,,Solid State,,,,,2.0,,,801.11ac,,,"Güvenli Dijital Kart, USB, HDMI, USB 2.0",LED,6.0,DDR4,,
B08SQMZZML,,,,,,,,,,,,,,Lenovo,,,,,,7879.0,,,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,
