ASIN,Bağlantı Türü,Bellek Teknolojisi,Bilgisayar Bellek Türü,Desteklenen Maksimum Bellek,Ekran Boyutu,Ekran Kartı Arayüzü,Ekran Kartı Açıklaması,Form Faktör,Grafik RAM Türü,Grafik İşlemci Üreticisi,Lityum Batarya Enerji İçeriği,Lityum Batarya Paketi,Lityum İyon Hücre Sayısı,Marka,Optik Sürücü Türü,Ortalama Pil Ömrü (saat),Paket Boyutları,Piller Dahil mi?,Piller:,Price,RAM Boyutu,Sabit Disk Açıklaması,Score,Seri,USB 3.0 Bağlantı Noktası Sayısı,Çözünürlük,Üretici,Ürün Ağırlığı,İşlemci Hızı,İşlemci Markası,İşlemci Sayısı,İşlemci Türü,İşletim Sistemi,Grafik Yardımcı İşlemcisi,Renk,Sabit Sürücü Arabirimi,Sabit Sürücü Boyutu,USB 2.0 Bağlantı Noktası Sayısı,Ürün Boyutları,Donanım Platformu,Ekran Kartı Bellek Boyutu,Ürün Model Numarası,HDMI Bağlantı Noktası Sayısı,Kablosuz Türü,Bellek Saat Hızı,Üretici Artık Üretmiyor,Donanım Arayüzü,Ekran Teknolojisi,Ortalama Pil Ömrü,RAM Bellek Teknolojisi,Model,Lityum Batarya Ağırlığı
B08B5XBGKM,,,,,,,,Dizüstü Bilgisayar,,,,,,Asus,,,,,,7029.0,4.0,SSD,,,,,Asus,1.9,,Intel,,Core i5,,NVIDIA GeForce MX110,Şeffaf,Solid State,,,,,,,,,,,,,,,,
B08L9GB1LN,"Bluetooth, Wi_fi",So_dimm,DDR4 SDRAM,64.0,15.6,PCI-Express x16,Diğer,Dizüstü,GDDR6,AMD,51.0,Cihazın içinde pil vardır.,3.0,Msi,Yok,,,Evet,3 Lityum polimer pil gereklidir. (piller ürüne dahildir),10388.0,8.0,SSD,4.8,BRAVO 15 A4DDR-243XTR,4.0,1920x1080,MSI COMPUTER,1.86,2.9,AMD,1.0,AMD Ryzen 7,Linux,,Black,Solid State,,,25.4 x 35.9 x 2.17 cm; 1.86 Kilogram,PC,4.0,,,802.11a/b/g/n/ac,3200.0,,,,,,,
B08LBLNCVP,,LPDDR3,,4.0,15.6,Tümleşik,Tümleşik,Dizüstü Bilgisayar,DDR3 SDRAM,Intel,,,,Asus,Yok,,50 x 29 x 7 cm; 1.9 Kilogram,,,3695.0,4.0,SSD,4.0,F543NA-GQ339T,1.0,,Asus,1.9,2.6,Intel,1.0,Celeron N3350,Windows 10 Home,,Gri,Solid State,,2.0,,,,F543NA-GQ339T,,,,,,,,,,
B07T16XVVP,Realtek RTL8723DE 802.11b/g/n (1x1),DDR4,DDR4 SDRAM,4.0,15.6,Tümleşik,Özel,Dizüstü Bilgisayar,DDR3 SDRAM,AMD,,,3.0,HP,Yok,,,,,3995.0,,128 GB SSD,3.0,Laptop 15-db1030nt,2.0,,HP,1.5,2.6,AMD,2.0,Ryzen 3 3200U,Windows 10 Home,,,Solid State,128.0,1.0,30 x 30 x 30 cm; 1.5 Kilogram,,,,,,,,,,,,,
B08P84KJFQ,,DDR4,,16.0,14,PCI-E,Diğer,,DDR3 SDRAM,Intel,60.7,Cihazın içinde pil vardır.,1.0,Lenovo,Yok,,25 x 25 x 20 cm; 3 gram,,,10599.0,,SSD,,Yoga Slim 7 14IIL05,3.0,,Lenovo,3.0,3.9,Intel,2.0,Core i7,Windows 10 Home,,,Fast SCSI,512.0,3.0,,,,82A100A0TX,,,,,,,,,,0.3
B08H8X5PNF,Realtek RTL8821CE 802.11a/b/g/n/ac (1x1) Wi-Fi®,DDR4,,8.0,15.6,Tümleşik,Radeon Vega 8,Dizüstü Bilgisayar,VRAM,AMD,41.0,Cihazın içinde pil vardır.,3.0,HP,Yok,7.0,50 x 30 x 10 cm; 1 Kilogram,Evet,3 Lityum İyon pil gereklidir. (piller ürüne dahildir),6388.0,8.0,SSD,4.7,Laptop - 15s-eq0013nt,2.0,1920x1080,HP,1.0,2.2,AMD,4.0,,FreeDOS,AMD Radeon Vega 8,,Solid State,500.0,,,,8.0,,,,,,,,,,,
B08RCWG35N,,DDR4,SODIMM,,15.6,,,Dizüstü Bilgisayar,,NVIDIA,,Piller cihazla birlikte paketlenmiştir,,Monster,,,,Evet,,9799.0,16.0,SSD,,,,1920x1080,Monster,2.1,2.6,Intel,6.0,Intel Core i5,,,,Solid State,500.0,,35.98 x 24.33 x 2.58 cm; 2.1 Kilogram,PC,,,,,,,,,,,,
B08D7CXR87,Wi-Fi,DDR4,DDR4 SDRAM,,15.6,,,Notebook,,NVIDIA,51.0,Cihazın içinde pil vardır.,1.0,Msi,Yok,6.0,,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),8412.0,8.0,SSD,4.2,,,1920x1080,MSI COMPUTER,1.86,2.4,Intel,4.0,,FreeDOS,,,Solid State,256.0,,36 x 2.1 x 25 cm; 1.86 Kilogram,,4.0,GF63 THIN 9SCXR-618XTR,1.0,802.11a/b/g/n/ac,,,,,,,,
B08PKRVS1C,,LPDDR4,DDR4 SDRAM,32.0,14,Tümleşik,Tümleşik,Taşınabilir,Shared,Intel,52.0,Cihazın içinde pil vardır.,3.0,Msi,Yok,,49.4 x 31 x 8.8 cm; 1.3 Kilogram,Evet,3 Lityum polimer pil gereklidir. (piller ürüne dahildir),6745.0,,SSD,4.0,MODERN 14 B10MW-271XTR,3.0,1920x1080,MSI COMPUTER,1.3,1.6,Intel,1.0,Core i5,Linux,Intel UHD Graphics 630,,PCIE x 16,256.0,,,,,,,"802.11a/b/g/n/ac, Bluetooth",,,,,,,,
B08GSXVD4P,Wi-Fi,DDR4,DDR4 SDRAM,8.0,15.6,Tümleşik,UHD Graphics 600,Katlanır,VRAM,Intel,41.0,Cihazın içinde pil vardır.,1.0,HP,Yok,6.0,,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),5293.0,8.0,SSD,4.4,15-dw2027nt,1.0,1366x768,HP,1.75,3.4,Intel,2.0,Core i3-1005G1,FreeDOS,,Siyah,Solid State,256.0,2.0,24.2 x 35.85 x 1.99 cm; 1.75 Kilogram,,,235Q8EA,1.0,801.11ac,,,,,,,,
