ASIN,Ekran Boyutu,Form Faktör,Grafik Yardımcı İşlemcisi,Grafik İşlemci Üreticisi,Marka,Paket Boyutları,Price,RAM Boyutu,Renk,Sabit Disk Açıklaması,Sabit Sürücü Arabirimi,Score,Üretici,Ürün Ağırlığı,İşlemci Markası,Bağlantı Türü,Bellek Teknolojisi,Bilgisayar Bellek Türü,Desteklenen Maksimum Bellek,Ekran Kartı Arayüzü,Ekran Kartı Açıklaması,Grafik RAM Türü,Lityum Batarya Enerji İçeriği,Lityum Batarya Paketi,Lityum İyon Hücre Sayısı,Optik Sürücü Türü,Ortalama Pil Ömrü (saat),Piller Dahil mi?,Piller:,Seri,USB 3.0 Bağlantı Noktası Sayısı,Çözünürlük,İşlemci Hızı,İşlemci Sayısı,İşlemci Türü,İşletim Sistemi,Lityum Batarya Ağırlığı,Lityum Metal Hücre Sayısı,Sabit Sürücü Boyutu,USB 2.0 Bağlantı Noktası Sayısı,Ürün Model Numarası,Donanım Platformu,Ekran Kartı Bellek Boyutu,Ürün Boyutları,Kablosuz Türü,Bellek Saat Hızı,Ekran Çözünürlüğü,Üretici Artık Üretmiyor,HDMI Bağlantı Noktası Sayısı,Ekran Teknolojisi,RAM Bellek Teknolojisi,Önemli Özellikler,İnsan Arayüz Girdisi,Üretici Referansı,Audio Details,Voltaj,Watt Değeri,Donanım Arayüzü,Ortalama Pil Ömrü,Yüklü Flash Belleğin Boyutu,Dizüstü Bilgisayar Ekran Teknolojisi,Ek Sürücüler,Dahili Hafıza,Average Battery Standby Life (in hours),Front Webcam Resolution,Model,Parça Numarası,Pil Gerekli,Piller Dahil,Sıvı Madde İçerir,Bağlantı Noktası Sayısı,Model Year,Otomatik Odaklama Var,Programlanabilir Düğmeler,USB Bağlantı Noktası Sayısı,Yatay Çözünürlük,Klavye Dili ve Düzeni,Sabit Disk Dönüş Hızı,Cihaz Türü,İşlemci Yuvası,Pil Hücre Bileşimi,Rear Webcam Resolution,Adet,Model Adı,Şarj Edilebilir Pil Dahil,Dijital Depolama Kapasitesi,Renkli Ekran,En-Boy Oranı,Yanıt Süresi,Bluetooth Teknolojisini Destekler,Hücresel Teknoloji,Lityum Batarya Voltajı,Battery Charge Time (in hours),Uzaktan Kumanda Dahil,Hoparlör Çıkış Kanalı Sayısı,Desteklenen Yazılımlar,Pil Açıklaması,Mikrofon Bağlantı Noktası Sayısı,Kart Okuyucu,Dil:,Güç Kaynağı,Model Numarası,Üretici Parça Numarası
B08P3YVGLX,,Dizüstü Bilgisayar,,,Lenovo,,"₺7.729,00",16 GB,,Katı Hal Sürücüsü (SSD),,,Lenovo,,AMD,,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,LED,DDR4,Dokunmatik Ekran,Dokunmatik Ekran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08B5XBGKM,,Dizüstü Bilgisayar,NVIDIA GeForce MX110,,Asus,,"₺7.029,00",4 GB,Şeffaf,SSD,Solid State,,Asus,1.9 kg,Intel,,,,,,,,,,,,,,,,,,,,Core i5,,,,,,,,,,,,,,,,,,,84.71.30.00.00.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08L9GB1LN,15.6,Dizüstü,,AMD,Msi,,"₺10.388,60",8 GB,Black,SSD,Solid State,"4,8 / 5 yıldız",MSI COMPUTER,1.86 kg,AMD,"Bluetooth, Wi_fi",So_dimm,DDR4 SDRAM,64 GB,PCI-Express x16,Diğer,GDDR6,51 Vat Saat,Cihazın içinde pil vardır.,3,Optik Sürücü Yok,,Evet,3 Lityum polimer pil gereklidir. (piller ürüne dahildir),BRAVO 15 A4DDR-243XTR,4,1920 x 1080 Pixels,2.9 GHz,1,AMD Ryzen 7,Linux,,,,,,PC,4 GB,25.4 x 35.9 x 2.17 cm; 1.86 Kilogram,802.11a/b/g/n/ac,3200 MHz,1920 x 1080 piksel,,,,,,,MfrPartNumber3,Hoparlörler,220 Volts,180 watt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08LBLNCVP,15.6 İnç,Dizüstü Bilgisayar,,Intel,Asus,50 x 29 x 7 cm; 1.9 Kilogram,"₺3.695,30",4 GB,Gri,SSD,Solid State,4 / 5 yıldız,Asus,1.9 kg,Intel,,Lpddr_3,,4 GB,Tümleşik,Tümleşik,DDR3 SDRAM,,,,Optik Sürücü Yok,,,,F543NA-GQ339T,1,,2.6,1,Celeron N3350,Windows 10 Home,,,,2,F543NA-GQ339T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07T16XVVP,15.6,Dizüstü Bilgisayar,,AMD,HP,,"₺3.995,10",4,,128 GB SSD,Solid State,3 / 5 yıldız,hp,1.5 kg,AMD,Realtek RTL8723DE 802.11b/g/n (1x1),Ddr_4,DDR4 SDRAM,4 GB,Tümleşik,Özel,DDR3 SDRAM,,,3,Optik Sürücü Yok,,,,Laptop 15-db1030nt,2,,2.6,2,Ryzen 3 3200U,Windows 10 Home,,,128 GB,1,,,,30 x 30 x 30 cm; 1.5 Kilogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P84KJFQ,14 İnç,,,Intel,Lenovo,25 x 25 x 20 cm; 3 gram,"₺10.599,00",16,,SSD,Fast SCSI,,Lenovo,3 g,Intel,,Ddr_4,,16 GB,PCI-E,Diğer,DDR3 SDRAM,60.7 Vat Saat,Cihazın içinde pil vardır.,1,Optik Sürücü Yok,,,,Yoga Slim 7 14IIL05,3,,3.9,2,Core i7,Windows 10 Home,0.3 miligram,1,512 GB,3,82A100A0TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08H8X5PNF,15.6,Dizüstü Bilgisayar,AMD Radeon Vega 8,AMD,HP,50 x 30 x 10 cm; 1 Kilogram,"₺6.388,61",8 GB,,SSD,Solid State,"4,7 / 5 yıldız",hp,1 kg,AMD,Realtek RTL8821CE 802.11a/b/g/n/ac (1x1) Wi-Fi®,Ddr_4,,8 GB,Tümleşik,Radeon Vega 8,VRAM,41 Vat Saat,Cihazın içinde pil vardır.,3,Optik Sürücü Yok,7 Saat,Evet,3 Lityum İyon pil gereklidir. (piller ürüne dahildir),Laptop - 15s-eq0013nt,2,1920 x 1080 Pixels,2.2,4,Yok,FreeDOS,,,500 GB,,,,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RCWG35N,15.6 İnç,Dizüstü Bilgisayar,,Nvidia,Monster,,"₺9.799,00",16 GB,,SSD,Solid State,,MONSTER,2.1 kg,Intel,,DDR4,SODIMM,,,,,,Piller cihazla birlikte paketlenmiştir,,,,Evet,,,,1080p Full HD,2.6 MHz,6,Intel Core i5,,,,500 GB,,,PC,,35.98 x 24.33 x 2.58 cm; 2.1 Kilogram,,,1920 x 1080 piksel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08D7CXR87,15.6,Notebook,,Nvidia,Msi,,"₺8.412,34",8 GB,,SSD,Solid State,"4,2 / 5 yıldız",MSI COMPUTER,1.86 kg,Intel,Wi-Fi,DDR4,DDR4 SDRAM,,,,,51 Vat Saat,Cihazın içinde pil vardır.,1,Yok,6 Saat,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),,,1920x1080,2.4 GHz,4,,Işletim_sistemi_yok,,1,256 GB,,GF63 THIN 9SCXR-618XTR,,4 GB,36 x 2.1 x 25 cm; 1.86 Kilogram,802.11a/b/g/n/ac,,1920x1080,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08PKRVS1C,14,Taşınabilir,Intel UHD Graphics 630,Intel,Msi,49.4 x 31 x 8.8 cm; 1.3 Kilogram,"₺6.745,05",8,,SSD,PCIE x 16,4 / 5 yıldız,MSI COMPUTER,1.3 kg,Intel,,Lpddr_4,DDR4 SDRAM,32 GB,Tümleşik,Tümleşik,Shared,52 Vat Saat,Cihazın içinde pil vardır.,3,Optik Sürücü Yok,,Evet,3 Lityum polimer pil gereklidir. (piller ürüne dahildir),MODERN 14 B10MW-271XTR,3,1920 x 1080 Pixels,1.6 GHz,1,Core i5,Linux,,,256 GB,,,,,,"802.11a/b/g/n/ac, Bluetooth",,1920 x 1080 piksel,,,,,,,,"Hoparlörler, Kulaklıklar",220 Volt (AC),65 watt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08GSXVD4P,15.6,Katlanır,,Intel,HP,,"₺5.293,69",8 GB,Siyah,SSD,Solid State,"4,4 / 5 yıldız",hp,1.75 kg,Intel,Wi-Fi,Ddr_4,DDR4 SDRAM,8 GB,Tümleşik,UHD Graphics 600,VRAM,41 Vat Saat,Cihazın içinde pil vardır.,1,Yok,6 Saat,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),15-dw2027nt,1,1366x768,3.4 GHz,2,Core i3-1005G1,FreeDOS,,,256 GB,2,235Q8EA,,,24.2 x 35.85 x 1.99 cm; 1.75 Kilogram,801.11ac,,1366x768,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0874VR9GT,,,,Nvidia,,,"₺11.299,00",16 GB,,SSD,Solid State,,MONSTER,2.5 kg,Intel,,DDR4,SODIMM,,,,,,,,,,,,,,1920 x 1080 Pixels,2.5 GHz,1,Core i7,Windows,,,256 GB,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08H8VRWYF,15.6,Dizüstü Bilgisayar,,AMD,HP,52 x 30.6 x 7.4 cm; 3.24 Kilogram,"₺10.461,72",16 GB,Siyah,Flaş Bellek Katı Hal,Solid State,"4,3 / 5 yıldız",hp,3.24 kg,AMD,"Bluetooth, Wi-Fi",Ddr_4,,16 GB,Tümleşik,GTX 1660 Ti,VRAM,,,,Optik Sürücü Yok,,,,15-ec1014nt,2,,2.1,1,AMD Ryzen 7,FreeDOS,,,1 TB,,,,,,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RC18938,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺6.179,00",,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08LD3X4H9,14 İnç,Dizüstü Bilgisayar,,Amd,HUAWEI,42.6 x 30.2 x 10.2 cm; 2.4 Kilogram,"₺7.999,00",8 GB,Gri,Katı Hal Sürücüsü (SSD),Solid State,5 / 5 yıldız,HUAWEI,2.4 kg,AMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GXY-205448272-S20200901-Black-233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08PG4ZJ4D,15.6,Dizüstü Bilgisayar,,AMD,HP,51.8 x 30.6 x 6.8 cm; 2.94 Kilogram,"₺12.999,00",16 GB,Siyah,SSD,ESATA,"4,4 / 5 yıldız",hp,2.94 kg,AMD,"Bluetooth, Wi-Fi",DDR4,,16 GB,Tümleşik,Dedicated,GDDR4,1 Miliamper Saat,Cihazın içinde pil vardır.,12,No Optical Drive,,,1 Lityum İyon pil gereklidir.,Pavillion,,1920 x 1080 Pixels,1,6,AMD Ryzen 7,Windows 10,,,512,2,,,,,"802.11a/b/g/n/ac, Bluetooth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08CYHCG86,14 İnç,Notebook,,Intel,Lenovo,,"₺10.996,93",8 GB,,SSD,Solid State,"3,8 / 5 yıldız",Lenovo,2.24 kg,Intel,Bluetooth,,DDR4 SDRAM,8 GB,Bilinmeyen,,Bilinmeyen,,,,Optik,10 Saat,,,,1,1920x1080,4.9 GHz,4,Core i7,Windows 10 Home,,,512 GB,1,81TC000YTX,,,40 x 30 x 50 cm; 2.24 Kilogram,Bluetooth,,1920x1080,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08G5LYBXF,15.6 İnç,Katlanır,,Nvidia,Msi,,"₺9.588,40",8 GB,,SSD,Solid State,"4,3 / 5 yıldız",MSI COMPUTER,1.86 kg,Intel,Wi-Fi,DDR4,DDR4 SDRAM,,,,,51 Vat Saat,Cihazın içinde pil vardır.,1,Yok,6 Saat,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),,,1920x1080,2.5 GHz,4,,Işletim_sistemi_yok,,,,,GF63 THIN 10SCSR-657XTR,,4 GB,36 x 2.1 x 25 cm; 1.86 Kilogram,801.11ac,,1920x1080,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08L9K314C,17.3,Dizüstü,,NVIDIA,Msi,,"₺12.727,26",4 GB,Black,SSD,Solid State,,MSI COMPUTER,2.2 kg,Intel,"Bluetooth, Wi_fi",So_dimm,DDR4 SDRAM,64 GB,PCI-Express x16,GTX 1650,GDDR6,51 Vat Saat,Cihazın içinde pil vardır.,3,Optik Sürücü Yok,,Evet,3 Lityum polimer pil gereklidir. (piller ürüne dahildir),GF75 THIN 9SCSR-432XTR,4,1920 x 1080 Pixels,2.6 GHz,1,Core i7,Linux,,,1 TB,,,PC,4 GB,26 x 39.7 x 2.31 cm; 2.2 Kilogram,802.11a/b/g/n/ac,2666 MHz,1920 x 1080 piksel,,,,,,,,Hoparlörler,220 Volts,180 watt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08J8CV8H4,15.6,Dizüstü Bilgisayar,,NVIDIA,HP,55.2 x 30.4 x 6.8 cm; 3.3 Kilogram,"₺10.999,00",16 GB,,SSD,Solid State,,hp,3.3 kg,Intel,,Ddr_4,DDR DRAM,16 GB,Tümleşik,NVDeForcTX 1650 Ti,GDDR6,52.5 Vat Saat,Cihazın içinde pil vardır.,3,Optik Sürücü Yok,,,1 Lityum İyon pil gereklidir.,1U5T2EA,2,,2.6 GHz,1,Core i7,DOS,,,512 GB,1,,Bilgisayar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08LX1B8ZM,15.6 İnç,,NVIDIA GeForce GTX 1650 Ti,NVIDIA,Msi,,"₺8.550,78",8,Black,SSD,Solid State,"3,2 / 5 yıldız",MSI COMPUTER,1.86 kg,Intel,Wi-Fi,Ddr_4,SODIMM,64 GB,PCI-Express x16,1650TI,GDDR6,,Cihazın içinde pil vardır.,3,Optik Sürücü Yok,7 Saat,Evet,3 Lityum polimer pil gereklidir. (piller ürüne dahildir),GF63 THIN 9SCSR-1053XTR,4,1920 x 1080 Pixels,2.4,1,Core i5,FreeDos,,,,,,PC,4 GB,39.7 x 25.4 x 2.17 cm; 1.86 Kilogram,802.11a/b/g/n/ac,2666 MHz,,,,,,,,,"Hoparlörler, Kulaklıklar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08G5M9718,15.6,Katlanır,,Nvidia,Msi,,"₺9.339,65",8 GB,,SSD,Solid State,"4,3 / 5 yıldız",MSI COMPUTER,2.3 kg,Intel,Wi-Fi,DDR4,DDR4 SDRAM,,,,,41 Vat Saat,Cihazın içinde pil vardır.,1,Yok,6 Saat,Evet,1 Ürüne özel pil gereklidir. (piller ürüne dahildir),,,1920x1080,2.5 GHz,4,,Işletim_sistemi_yok,,,256 GB,,GL65 LEOPARD 10SCXR-061XTR,,4 GB,36 x 2.8 x 25 cm; 2.3 Kilogram,801.11ac,,1920x1080,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08H8WJJWN,15.6,Dizüstü Bilgisayar,,AMD,HP,48.2 x 31 x 7 cm; 2.4 Kilogram,"₺4.449,00",4 GB,,Flaş Bellek Katı Hal,Solid State,,hp,2.4 kg,AMD,,Ddr_4,,4 GB,Tümleşik,Radeon Vega 3,VRAM,,,,Optik Sürücü Yok,,,,15-db1106nt,2,,3.5,1,Yok,FreeDOS,,,250 GB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
