ASIN,Ekran Boyutu,Form Faktör,Grafik Yardımcı İşlemcisi,Grafik İşlemci Üreticisi,Marka,Paket Boyutları,Price,RAM Boyutu,Renk,Sabit Disk Açıklaması,Sabit Sürücü Arabirimi,Score,Üretici,Ürün Ağırlığı,İşlemci Markası,Bağlantı Türü,Bellek Teknolojisi,Bilgisayar Bellek Türü,Desteklenen Maksimum Bellek,Ekran Kartı Arayüzü,Ekran Kartı Açıklaması,Grafik RAM Türü,Lityum Batarya Enerji İçeriği,Lityum Batarya Paketi,Lityum İyon Hücre Sayısı,Optik Sürücü Türü,Ortalama Pil Ömrü (saat),Piller Dahil mi?,Piller:,Seri,USB 3.0 Bağlantı Noktası Sayısı,Çözünürlük,İşlemci Hızı,İşlemci Sayısı,İşlemci Türü,İşletim Sistemi,Lityum Batarya Ağırlığı,Lityum Metal Hücre Sayısı,Sabit Sürücü Boyutu,USB 2.0 Bağlantı Noktası Sayısı,Ürün Model Numarası,Donanım Platformu,Ekran Kartı Bellek Boyutu,Ürün Boyutları,Kablosuz Türü,Bellek Saat Hızı,Ekran Çözünürlüğü,Üretici Artık Üretmiyor,HDMI Bağlantı Noktası Sayısı,Ekran Teknolojisi,RAM Bellek Teknolojisi,Önemli Özellikler,İnsan Arayüz Girdisi,Üretici Referansı,Audio Details,Voltaj,Watt Değeri,Donanım Arayüzü,Ortalama Pil Ömrü,Yüklü Flash Belleğin Boyutu,Dizüstü Bilgisayar Ekran Teknolojisi,Ek Sürücüler,Dahili Hafıza,Average Battery Standby Life (in hours),Front Webcam Resolution,Model,Parça Numarası,Pil Gerekli,Piller Dahil,Sıvı Madde İçerir,Bağlantı Noktası Sayısı,Model Year,Otomatik Odaklama Var,Programlanabilir Düğmeler,USB Bağlantı Noktası Sayısı,Yatay Çözünürlük,Klavye Dili ve Düzeni,Sabit Disk Dönüş Hızı,Cihaz Türü,İşlemci Yuvası,Pil Hücre Bileşimi,Rear Webcam Resolution,Adet,Model Adı,Şarj Edilebilir Pil Dahil,Dijital Depolama Kapasitesi,Renkli Ekran,En-Boy Oranı,Yanıt Süresi,Bluetooth Teknolojisini Destekler,Hücresel Teknoloji,Lityum Batarya Voltajı,Battery Charge Time (in hours),Uzaktan Kumanda Dahil,Hoparlör Çıkış Kanalı Sayısı,Desteklenen Yazılımlar,Pil Açıklaması,Mikrofon Bağlantı Noktası Sayısı,Kart Okuyucu,Dil:,Güç Kaynağı,Model Numarası,Üretici Parça Numarası
B08SHX9RWG,,,,,Lenovo,,"₺11.629,00",,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHWWCVB,,,,,Asus,,"₺9.629,00",,,,,,Asus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHWRN43,,,,,Lenovo,,"₺11.429,00",,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHWG7GQ,,,,,Asus,,"₺10.379,00",,,,,,Asus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHVRHJJ,,,,,,,"₺9.975,00",16 GB,,SSD,ESATA,,XİAOMİ,,Intel,,,DDR4 SDRAM,,,,,,,,,,,,,,,3.9 GHz,1,Intel Core i7,,,,512 GB,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHVC2X9,,Dizüstü Bilgisayar,,,Asus,,"₺10.829,00",64 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Asus,,Intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,6 Saat,,,,,,,,,,,,,,,,,,Oyun Bilgisayarı,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHTCGFJ,,Dizüstü Bilgisayar,,,Asus,,"₺10.079,00",8 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Asus,,Intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,6 Saat,,,,,,,,,,,,,,,,,,Oyun Bilgisayarı,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHSZ147,14 İnç,Dizüstü Bilgisayar,,,Lenovo,,"₺11.929,00",16 GB,,,,,Lenovo,,Intel,USB,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,Windows 10 Pro,,,,,,,,,,,,,,LED,DDR4,,Mikrofon,,,,,USB-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHMVB3F,,Dizüstü Bilgisayar,,,Dell,,"₺8.629,00",8 GB,,,,,Dell Computers,,Intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHMNVK5,,Dizüstü Bilgisayar,,,Asus,,"₺9.879,00",16 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Asus,,Intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,6 Saat,,,,,,,,,,,,,,,,,,Oyun Bilgisayarı,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHLGXNX,,,,,Lenovo,,"₺11.129,00",,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHKPZY5,,Dizüstü Bilgisayar,,,Lenovo,,"₺43.379,00",32 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,Windows 10 Pro,,,,,,,,,,,,,,LED,,,,,,,,,,32 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHJ1S29,,Dizüstü Bilgisayar,,,Asus,,"₺11.279,00",64 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Asus,,Intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,6 Saat,,,,,,,,,,,,,,,,,,Oyun Bilgisayarı,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHG2F1Q,,Dizüstü Bilgisayar,,,Asus,,"₺10.479,00",32 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Asus,,Intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,6 Saat,,,,,,,,,,,,,,,,,,Oyun Bilgisayarı,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHFPS59,14 İnç,Dizüstü Bilgisayar,,,Lenovo,,"₺10.679,00",8 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,Intel,,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,Windows 10 Pro,,,,,,,,,,,,,,LED,DDR4,,Mikrofon,,,,,,,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHCQ4BG,14 İnç,Dizüstü Bilgisayar,,,Lenovo,,"₺11.629,00",32 GB,,"Katı Hal Sürücüsü (SSD), Mekanik Sabit Sürücü (HDD)",Solid State,,Lenovo,,Intel,,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,Windows 10 Pro,,,,,,,,,,,,,,LED,DDR4,,Mikrofon,,,,,,,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHCCM4B,17.3 İnç,,,,Lenovo,,"₺25.779,00",16 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,,Wifi,,,,,,,,,,,,,,,,3840 x 2160 Pixels,,8,,,,,,,,,,,,,,,,,,,Mikrofon,,,,,,17 Saat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHCC8ZN,,Dizüstü Bilgisayar,,,Asus,,"₺12.179,00",64 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Asus,,Intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,6 Saat,,,,,,,,,,,,,,,,,,Oyun Bilgisayarı,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHC9QV2,14 İnç,Dizüstü Bilgisayar,,,Lenovo,,"₺11.429,00",16 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,Intel,,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,Windows 10 Pro,,,,,,,,,,,,,,LED,DDR4,,Mikrofon,,,,,,,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SHC8TP3,,Dizüstü Bilgisayar,,,Asus,,"₺9.629,00",8 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Asus,,Intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,6 Saat,,,,,,,,,,,,,,,,,,Oyun Bilgisayarı,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SBK8NMZ,14 İnç,Dizüstü Bilgisayar,,,HP,,"₺9.281,49",8 GB,,Katı Hal Sürücüsü (SSD),Solid State,,hp,,,,,,,,,,,,,,,,,,,,,,,,,,,,HP 250 G7 255G9ES,,,,,,,,,LED,,,Klavye,,,,,VGA,,,,,256 GB,,,HP 250 G7 255G9ES,14759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RS4STJJ,,Dizüstü Bilgisayar,,,Lenovo,,"₺7.379,00",8 GB,,Katı Hal Sürücüsü (SSD),,,Lenovo,,Intel,,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,LED,DDR4,Dokunmatik Ekran,Dokunmatik Ekran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RN3M6C4,14 İnç,Dizüstü Bilgisayar,,,Lenovo,,"₺10.179,00",8 GB,,Katı Hal Sürücüsü (SSD),,,Lenovo,,Intel,USB,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,Windows 10 Pro,,,,,,,,,,,,,,,DDR4,,Mikrofon,,,,,USB-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RDC9VW1,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺5.829,00",12 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RDBR7GF,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺6.629,00",12 GB,,"Katı Hal Sürücüsü (SSD), Mekanik Sabit Sürücü (HDD)",Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RDBHBPQ,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺6.379,00",12 GB,,"Katı Hal Sürücüsü (SSD), Mekanik Sabit Sürücü (HDD)",Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,1 TB,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RDBFNRC,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺6.729,00",12 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RDB5KPK,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺7.229,00",12 GB,,"Katı Hal Sürücüsü (SSD), Mekanik Sabit Sürücü (HDD)",Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RDB5151,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺6.279,00",8 GB,,"Katı Hal Sürücüsü (SSD), Mekanik Sabit Sürücü (HDD)",Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RCSSPXG,,,,,,,"₺10.816,67",,,,Solid State,,Dynabook,,Intel,,,SODIMM,,,,,,,,,,,,,,,4.9 GHz,8,Core i7-10510U,,,,256 GB,,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RB7WMJV,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺6.629,00",8 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RB7WM5K,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺6.029,00",8 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RB7SFYX,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺5.779,00",8 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RB7RNJ6,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺6.529,00",8 GB,,"Katı Hal Sürücüsü (SSD), Mekanik Sabit Sürücü (HDD)",Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RB7NNC3,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺7.579,00",,,"Katı Hal Sürücüsü (SSD), Mekanik Sabit Sürücü (HDD)",Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RB78F88,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺6.829,00",,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RB748RC,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺7.679,00",,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RB6VWJM,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺7.579,00",,,"Katı Hal Sürücüsü (SSD), Mekanik Sabit Sürücü (HDD)",Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RB6M6SQ,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺7.329,00",,,"Katı Hal Sürücüsü (SSD), Mekanik Sabit Sürücü (HDD)",Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,1 TB,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RB6FNN9,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺8.179,00",,,"Katı Hal Sürücüsü (SSD), Mekanik Sabit Sürücü (HDD)",Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RB6B28V,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺6.929,00",,,"Katı Hal Sürücüsü (SSD), Mekanik Sabit Sürücü (HDD)",Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RB69DZY,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺6.679,00",,,"Katı Hal Sürücüsü (SSD), Mekanik Sabit Sürücü (HDD)",Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RB699NX,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺6.429,00",,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RB66YCX,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺6.129,00",12 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RB5ZGVJ,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺7.129,00",8 GB,,"Katı Hal Sürücüsü (SSD), Mekanik Sabit Sürücü (HDD)",Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RB5QKTL,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺7.029,00",,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RB5GY4R,15.6 İnç,Dizüstü Bilgisayar,AMD Radeon Vega 8,,Lenovo,,"₺7.079,00",,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,,Bluetooth,,DDR4 SDRAM,,,,,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,"Bluetooth, 801.11ac",,,,,LED,DDR4,,Klavye,,,,,Bluetooth,6 Saat,500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08R9WWGBW,,Dizüstü Bilgisayar,,,Lenovo,,"₺17.879,00",64 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,Intel,,,,,,,,,,,,,,,,,3840 x 2160 Pixels,,8,,Windows 10 Pro,,,,,,,,,,,,,,,"DDR4, SO-DIMM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08R9WVVBK,,Dizüstü Bilgisayar,,,Lenovo,,"₺15.899,00",16 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,Intel,Wifi,,,,,,,,,,,,,,,,,,8,,Windows 10 Pro,,,,,,,,,,,,,,LED,,Dokunmatik Ekran,Dokunmatik Ekran,,,,,,,500 GB,,,512 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08R9WLX9Z,,Dizüstü Bilgisayar,,,Lenovo,,"₺16.729,00",32 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,Intel,,,,,,,,,,,,,,,,,3840 x 2160 Pixels,,8,,Windows 10 Pro,,,,,,,,,,,,,,,"DDR4, SO-DIMM",,,,,,,,,500 GB,,,512 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08R9VXTD2,,Dizüstü Bilgisayar,,,Lenovo,,"₺19.279,00",16 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,Intel,Wifi,,,,,,,,,,,,,,,,,,8,,Windows 10 Pro,,,,,,,,,,,,,,LED,,Dokunmatik Ekran,Dokunmatik Ekran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08R9VRKF7,,Dizüstü Bilgisayar,,,Lenovo,,"₺16.629,00",16 GB,,Katı Hal Sürücüsü (SSD),Solid State,,Lenovo,,Intel,,,,,,,,,,,,,,,,,3840 x 2160 Pixels,,8,,Windows 10 Pro,,,,,,,,,,,,,,,"DDR4, SO-DIMM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08R8XX5BH,,,,,Lenovo,,"₺7.429,00",,,,,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08R8J73S1,,Dizüstü Bilgisayar,NVIDIA GeForce MX110,,Asus,,"₺7.629,00",2 GB,,Katı Hal Sürücüsü (SSD),,,Asus,1.9 Kilogram,Intel,"USB, HDMI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MicroSD, USB, HDMI, USB 2.0, USB-C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08R8J3TP2,,Dizüstü Bilgisayar,NVIDIA GeForce MX110,,Asus,,"₺7.229,00",8 GB,,Katı Hal Sürücüsü (SSD),,,Asus,1.9 Kilogram,Intel,"USB, HDMI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MicroSD, USB, HDMI, USB 2.0, USB-C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08R8HR4V9,,Dizüstü Bilgisayar,NVIDIA GeForce MX110,,Asus,,"₺8.479,00",2 GB,,,,,Asus,1.9 Kilogram,Intel,"USB, HDMI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MicroSD, USB, HDMI, USB 2.0, USB-C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08R8HLTMV,,Dizüstü Bilgisayar,NVIDIA GeForce MX110,,Asus,,"₺7.629,00",8 GB,,,,,Asus,1.9 Kilogram,Intel,"USB, HDMI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MicroSD, USB, HDMI, USB 2.0, USB-C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08R8HL5B3,,Dizüstü Bilgisayar,NVIDIA GeForce MX110,,Asus,,"₺7.729,00",12 GB,,,,,Asus,1.9 Kilogram,Intel,"USB, HDMI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MicroSD, USB, HDMI, USB 2.0, USB-C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
